site_id,postcode,state,timezone_id
2270660,5019,SA,Australia/Adelaide
1957308,5204,SA,Australia/Adelaide
2539733,5061,SA,Australia/Adelaide
2880092,5255,SA,Australia/Adelaide
2515319,5540,SA,Australia/Adelaide
665638,5154,SA,Australia/Adelaide
2408935,5290,SA,Australia/Adelaide
1059582,5211,SA,Australia/Adelaide
750216,5211,SA,Australia/Adelaide
1038225,5073,SA,Australia/Adelaide
538611,5069,SA,Australia/Adelaide
1172748,5460,SA,Australia/Adelaide
1456525,5097,SA,Australia/Adelaide
2641554,5037,SA,Australia/Adelaide
2728563,5251,SA,Australia/Adelaide
641361,5092,SA,Australia/Adelaide
2244194,5022,SA,Australia/Adelaide
346455,5126,SA,Australia/Adelaide
1694275,5082,SA,Australia/Adelaide
267393,5076,SA,Australia/Adelaide
2001438,5608,SA,Australia/Adelaide
2290918,5351,SA,Australia/Adelaide
604965,5700,SA,Australia/Adelaide
1313519,5211,SA,Australia/Adelaide
1044300,5126,SA,Australia/Adelaide
355653,5087,SA,Australia/Adelaide
955992,5252,SA,Australia/Adelaide
2411699,5012,SA,Australia/Adelaide
748683,5264,SA,Australia/Adelaide
178435,5098,SA,Australia/Adelaide
3045930,5043,SA,Australia/Adelaide
358769,5023,SA,Australia/Adelaide
1518777,5020,SA,Australia/Adelaide
1937307,5540,SA,Australia/Adelaide
219133,5554,SA,Australia/Adelaide
1748946,5204,SA,Australia/Adelaide
2454542,5290,SA,Australia/Adelaide
2061165,5009,SA,Australia/Adelaide
2380322,5070,SA,Australia/Adelaide
1515956,5090,SA,Australia/Adelaide
717821,5575,SA,Australia/Adelaide
1602571,5018,SA,Australia/Adelaide
2537954,5351,SA,Australia/Adelaide
2092023,5602,SA,Australia/Adelaide
911901,5116,SA,Australia/Adelaide
306678,5172,SA,Australia/Adelaide
2145909,5063,SA,Australia/Adelaide
150627,5167,SA,Australia/Adelaide
220528,5156,SA,Australia/Adelaide
2859683,5052,SA,Australia/Adelaide
1666991,5159,SA,Australia/Adelaide
631190,5065,SA,Australia/Adelaide
856565,5048,SA,Australia/Adelaide
734804,5238,SA,Australia/Adelaide
1242679,5650,SA,Australia/Adelaide
2188085,5037,SA,Australia/Adelaide
275514,5165,SA,Australia/Adelaide
2141176,5127,SA,Australia/Adelaide
891371,5352,SA,Australia/Adelaide
1345785,5540,SA,Australia/Adelaide
1953409,5083,SA,Australia/Adelaide
1618838,5072,SA,Australia/Adelaide
2506997,5073,SA,Australia/Adelaide
2537964,5168,SA,Australia/Adelaide
1725019,5159,SA,Australia/Adelaide
403109,5126,SA,Australia/Adelaide
2094256,5112,SA,Australia/Adelaide
154287,5540,SA,Australia/Adelaide
3052027,5114,SA,Australia/Adelaide
2174215,5109,SA,Australia/Adelaide
832918,5096,SA,Australia/Adelaide
317108,5172,SA,Australia/Adelaide
2623115,5073,SA,Australia/Adelaide
2086565,5061,SA,Australia/Adelaide
1905517,5038,SA,Australia/Adelaide
1721344,5008,SA,Australia/Adelaide
486586,5255,SA,Australia/Adelaide
21091,5097,SA,Australia/Adelaide
2284573,5211,SA,Australia/Adelaide
1780163,5087,SA,Australia/Adelaide
2977501,5203,SA,Australia/Adelaide
221577,5280,SA,Australia/Adelaide
2352972,5607,SA,Australia/Adelaide
1516598,5214,SA,Australia/Adelaide
2133625,5093,SA,Australia/Adelaide
2345630,5014,SA,Australia/Adelaide
1125968,5108,SA,Australia/Adelaide
2674829,5108,SA,Australia/Adelaide
2352864,5043,SA,Australia/Adelaide
888286,5063,SA,Australia/Adelaide
2825482,5159,SA,Australia/Adelaide
1029792,5214,SA,Australia/Adelaide
266905,5159,SA,Australia/Adelaide
1734498,5116,SA,Australia/Adelaide
131827,5214,SA,Australia/Adelaide
1589406,5332,SA,Australia/Adelaide
479719,5144,SA,Australia/Adelaide
3147037,5065,SA,Australia/Adelaide
1915922,5113,SA,Australia/Adelaide
2282050,5163,SA,Australia/Adelaide
2926523,5108,SA,Australia/Adelaide
536509,5163,SA,Australia/Adelaide
2318217,5015,SA,Australia/Adelaide
1027426,5355,SA,Australia/Adelaide
2392020,5168,SA,Australia/Adelaide
967073,5086,SA,Australia/Adelaide
2830551,5022,SA,Australia/Adelaide
1947154,5098,SA,Australia/Adelaide
2663992,5223,SA,Australia/Adelaide
2528501,5554,SA,Australia/Adelaide
48127,5039,SA,Australia/Adelaide
2660387,5018,SA,Australia/Adelaide
207196,5241,SA,Australia/Adelaide
3080440,5032,SA,Australia/Adelaide
544903,5640,SA,Australia/Adelaide
1753884,5007,SA,Australia/Adelaide
1748448,5042,SA,Australia/Adelaide
2420475,5162,SA,Australia/Adelaide
1381033,5162,SA,Australia/Adelaide
1847710,5000,SA,Australia/Adelaide
2769999,5114,SA,Australia/Adelaide
965133,5038,SA,Australia/Adelaide
1057899,5082,SA,Australia/Adelaide
1490290,5096,SA,Australia/Adelaide
2213732,5163,SA,Australia/Adelaide
2689852,5127,SA,Australia/Adelaide
309708,5046,SA,Australia/Adelaide
1951757,5093,SA,Australia/Adelaide
3123351,5158,SA,Australia/Adelaide
2706919,5067,SA,Australia/Adelaide
2977421,5608,SA,Australia/Adelaide
2784168,5253,SA,Australia/Adelaide
103077,5097,SA,Australia/Adelaide
2875276,5159,SA,Australia/Adelaide
1171434,5049,SA,Australia/Adelaide
771677,5093,SA,Australia/Adelaide
929813,5214,SA,Australia/Adelaide
3071106,5540,SA,Australia/Adelaide
1958696,5092,SA,Australia/Adelaide
1140334,5211,SA,Australia/Adelaide
1199634,5125,SA,Australia/Adelaide
3091821,5161,SA,Australia/Adelaide
699755,5167,SA,Australia/Adelaide
196054,5114,SA,Australia/Adelaide
469508,5162,SA,Australia/Adelaide
44805,5290,SA,Australia/Adelaide
169294,5046,SA,Australia/Adelaide
699028,5117,SA,Australia/Adelaide
2786656,5540,SA,Australia/Adelaide
1875025,5096,SA,Australia/Adelaide
111836,5084,SA,Australia/Adelaide
2309455,5540,SA,Australia/Adelaide
3031143,5162,SA,Australia/Adelaide
971785,5085,SA,Australia/Adelaide
2077914,5173,SA,Australia/Adelaide
588898,5024,SA,Australia/Adelaide
1725551,5211,SA,Australia/Adelaide
1807454,5092,SA,Australia/Adelaide
2662971,5097,SA,Australia/Adelaide
2445296,5169,SA,Australia/Adelaide
549554,5108,SA,Australia/Adelaide
893211,5052,SA,Australia/Adelaide
1092254,5038,SA,Australia/Adelaide
1442754,5074,SA,Australia/Adelaide
2145182,5127,SA,Australia/Adelaide
1796285,5016,SA,Australia/Adelaide
2942772,5062,SA,Australia/Adelaide
1049166,5024,SA,Australia/Adelaide
218821,5571,SA,Australia/Adelaide
2602313,5010,SA,Australia/Adelaide
223455,5540,SA,Australia/Adelaide
1205719,5116,SA,Australia/Adelaide
255862,5169,SA,Australia/Adelaide
953951,5043,SA,Australia/Adelaide
441030,5233,SA,Australia/Adelaide
669802,5086,SA,Australia/Adelaide
419784,5097,SA,Australia/Adelaide
2616449,5075,SA,Australia/Adelaide
1329765,5223,SA,Australia/Adelaide
2066106,5211,SA,Australia/Adelaide
2541276,5042,SA,Australia/Adelaide
1463428,5044,SA,Australia/Adelaide
965826,5540,SA,Australia/Adelaide
2648838,5116,SA,Australia/Adelaide
510785,5049,SA,Australia/Adelaide
1247697,5097,SA,Australia/Adelaide
1051860,5108,SA,Australia/Adelaide
184088,5251,SA,Australia/Adelaide
898071,5204,SA,Australia/Adelaide
2377057,5092,SA,Australia/Adelaide
1833974,5065,SA,Australia/Adelaide
376049,5114,SA,Australia/Adelaide
1256094,5096,SA,Australia/Adelaide
695543,5038,SA,Australia/Adelaide
2978491,5213,SA,Australia/Adelaide
758164,5012,SA,Australia/Adelaide
2026906,5558,SA,Australia/Adelaide
258522,5065,SA,Australia/Adelaide
