LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
35790,Palm Island (S),QLD,2711,1229,498,37.1,2037,674,0,456,42,0
35800,Paroo (S),QLD,1715,846,323,35.5,1323,392,0,301,22,0
36070,Pormpuraaw (S),QLD,142,262,7,1.2,19,123,0,3,4,0
36150,Quilpie (S),QLD,1668,374,140,27.1,514,887,267,101,38,1
36250,Redland (C),QLD,155688,60117,33963,53.4,125223,28685,1780,32082,1876,5
36300,Richmond (S),QLD,1411,431,148,25.5,600,811,0,110,38,0
36370,Rockhampton (R),QLD,66104,36375,12236,31.6,48110,14901,3093,11484,744,8
36510,Scenic Rim (R),QLD,51940,15866,9446,53.5,35528,16412,0,8488,958,0
36580,Somerset (R),QLD,35148,10783,6763,57.5,26106,9042,0,6200,563,0
36630,South Burnett (R),QLD,27082,13971,5580,37.8,21077,5765,240,5288,291,1
36660,Southern Downs (R),QLD,116289,16998,6766,36.6,25652,12287,78350,6221,543,2
36720,Sunshine Coast (R),QLD,364457,122395,69510,53.1,264156,75649,24652,64961,4534,15
36820,Tablelands (R),QLD,23338,12396,3890,28,14585,8583,170,3470,419,1
36910,Toowoomba (R),QLD,407659,72808,24751,31.2,93597,40872,273190,22698,2038,15
36950,Torres (S),QLD,727,1083,62,3.9,211,516,0,43,19,0
36960,Torres Strait Island (R),QLD,907,1344,77,4,264,643,0,53,24,0
37010,Townsville (C),QLD,487309,82607,33074,37.2,138556,43589,305164,30769,2289,16
37300,Weipa (T),QLD,153,2057,15,0.5,58,95,0,11,4,0
37310,Western Downs (R),QLD,997166,16399,5184,27.9,19385,12733,965048,4571,604,9
37340,Whitsunday (R),QLD,476493,15639,6234,35,24295,13762,438436,5473,753,8
37400,Winton (S),QLD,1065,802,146,14.6,579,486,0,117,29,0
37550,Woorabinda (S),QLD,176,359,14,3.1,49,127,0,11,3,0
37570,Wujal Wujal (S),QLD,194,152,29,16.2,112,82,0,25,4,0
37600,Yarrabah (S),QLD,2388,1363,346,21.5,1320,1068,0,293,53,0
40070,Adelaide (C),SA,16000,5881,1697,22.8,5056,10514,430,1343,352,2
40120,Adelaide Hills (DC),SA,54973,15752,8350,45.3,31366,22499,1108,7140,1209,1
40150,Adelaide Plains (DC),SA,17249,3881,2637,59.2,10448,6801,0,2296,341,0
40220,Alexandrina (DC),SA,43410,16256,9066,52.3,32989,10028,393,8506,558,2
40250,Anangu Pitjantjatjara (AC),SA,375,734,29,2.8,100,275,0,20,9,0
40310,Barossa (DC),SA,42776,11004,6165,50.4,23454,12940,6382,5545,611,9
40430,Barunga West (DC),SA,16290,1916,937,46.7,3603,807,11880,895,40,2
40520,Berri and Barmera (DC),SA,20246,4935,2489,44.9,11095,5552,3599,2214,268,7
40700,Burnside (C),SA,45086,19489,7561,33.9,29623,15306,157,6604,956,1
40910,Campbelltown (C) (SA),SA,47160,20530,9028,40.9,36602,10384,174,8387,640,1
41010,Ceduna (DC),SA,4341,2099,682,29.6,2890,1451,0,621,61,0
41060,Charles Sturt (C),SA,107453,49820,19375,35.8,74726,31388,1339,17843,1526,6
41140,Clare and Gilbert Valleys (DC),SA,12982,4563,2200,43.6,8574,4408,0,1991,209,0
41190,Cleve (DC),SA,2803,1093,484,40.8,2017,786,0,446,38,0
41330,Coober Pedy (DC),SA,2081,1237,55,2.8,223,858,1000,34,20,1
41560,Copper Coast (DC),SA,34839,9097,4513,46.8,18003,4386,12450,4261,247,5
41750,Elliston (DC),SA,1618,673,246,32.9,1079,539,0,221,25,0
41830,Flinders Ranges (DC),SA,2193,1180,505,42,2050,143,0,495,10,0
41960,Franklin Harbour (DC),SA,2041,1050,386,34.1,1538,503,0,358,28,0
42030,Gawler (T),SA,28432,11057,5200,43.6,20522,6753,1157,4821,377,2
42110,Goyder (DC),SA,18905,2247,1007,41.7,4127,1534,13244,938,67,2
42250,Grant (DC),SA,10028,3770,1385,32.3,6162,3542,324,1219,165,1
42600,Holdfast Bay (C),SA,31827,15939,6112,35.2,23136,8214,477,5616,494,2
42750,Kangaroo Island (DC),SA,6034,3220,1220,35.3,4507,1527,0,1137,83,0
43080,Karoonda East Murray (DC),SA,1374,671,267,37.7,1106,268,0,253,14,0
43220,Kimba (DC),SA,1687,594,256,39.2,1077,610,0,233,23,0
43360,Kingston (DC) (SA),SA,3037,1699,558,30.5,2337,700,0,519,39,0
43650,Light (RegC),SA,23752,6517,3734,52.6,14786,5784,3182,3428,299,7
43710,Lower Eyre Peninsula (DC),SA,7786,3080,1384,42,6107,1463,216,1294,89,1
43790,Loxton Waikerie (DC),SA,24321,5652,3080,49.3,12404,6720,5197,2785,275,20
44000,Maralinga Tjarutja (AC),SA,70,33,11,29.9,46,24,0,10,1,0
44060,Marion (C),SA,83372,39836,16515,39.5,63006,14531,5835,15720,786,9
44210,Mid Murray (DC),SA,64755,7026,3061,40.6,11756,4425,48574,2854,192,15
44340,Mitcham (C),SA,66511,24895,11733,42.8,45619,17631,3261,10656,1073,4
44550,Mount Barker (DC),SA,52137,15133,8366,48.8,33642,17888,607,7383,980,3
44620,Mount Gambier (C),SA,17934,11885,2974,23.2,12189,5116,629,2755,218,1
44830,Mount Remarkable (DC),SA,13478,1765,864,46.1,3592,954,8932,814,49,1
45040,Murray Bridge (RC),SA,35074,10869,4877,41.4,19119,8372,7583,4495,376,6
45090,Naracoorte Lucindale (DC),SA,9615,3958,1455,33,6553,3062,0,1307,148,0
45120,Northern Areas (DC),SA,7005,2392,1242,47.1,4709,2296,0,1127,115,0
45290,NORWOOD PAYNEHAM AND ST PETERS (C),SA,34213,15391,5556,31.6,20795,12826,592,4857,696,3
45340,Onkaparinga (C),SA,177696,74563,37192,47.4,138150,35349,4197,35324,1858,10
45400,Orroroo/Carrieton (DC),SA,1542,491,272,51.6,1066,476,0,253,19,0
45540,Peterborough (DC),SA,10134,1067,412,36.4,1484,356,8294,388,22,2
45680,Playford (C),SA,102888,40182,16764,38.8,68520,24166,10202,15588,1163,13
45890,Port Adelaide Enfield (C),SA,135512,54148,22411,38.6,85971,36374,13167,20920,1469,22
46090,Port Augusta (C),SA,156810,6526,2956,42,11943,4627,140240,2740,212,4
46300,Port Lincoln (C),SA,15233,6715,2545,35.3,10474,4180,579,2371,171,3
46450,Port Pirie (M),SA,31691,8757,3808,41,15293,4037,12361,3591,212,5
46510,Prospect (C),SA,18415,8252,3306,35.8,12703,5712,0,2956,350,0
46670,Renmark Paringa (DC),SA,25638,4308,2303,47.1,10023,6207,9408,2029,255,19
46860,Robe (DC),SA,2444,1673,415,22.6,1745,699,0,378,37,0
46970,Roxby Downs (M),SA,2242,1808,286,14.6,1869,373,0,265,21,0
47140,Salisbury (C),SA,141197,56859,26816,44.9,103489,29690,8018,25544,1260,12
47290,Southern Mallee (DC),SA,2314,1101,393,33.2,1613,515,186,365,27,1
47490,Streaky Bay (DC),SA,3595,1954,607,28.3,2566,1029,0,554,53,0
47630,Tatiara (DC),SA,8314,2993,1355,41,5831,2345,138,1226,128,1
47700,Tea Tree Gully (C),SA,88281,40268,19175,45.6,72514,14248,1519,18358,816,1
47800,Coorong (DC),SA,140638,3021,1322,40.3,5318,2173,133147,1218,102,2
47910,Tumby Bay (DC),SA,3770,1690,782,44,3137,633,0,744,38,0
47980,Unley (C),SA,35532,13394,5841,38.2,22076,13082,374,5114,725,2
48050,Victor Harbor (C),SA,22060,9970,5051,48.3,17316,4603,141,4812,238,1
48130,Wakefield (DC),SA,14117,3166,1631,47.1,6148,4102,3867,1491,134,6
48260,Walkerville (M),SA,8304,3201,1326,35.9,5350,2954,0,1150,176,0
48340,Wattle Range (DC),SA,13016,6016,2194,33.8,9539,3477,0,2034,160,0
48410,West Torrens (C),SA,53102,25122,8916,32.3,34390,17056,1656,8116,795,5
48540,Whyalla (C),SA,30377,11271,4399,37,17408,4887,8082,4172,225,2
48640,Wudinna (DC),SA,2086,720,271,33,1102,541,443,238,31,2
48750,Yankalilla (DC),SA,11676,4020,2152,49.9,8061,2822,793,2006,145,1
48830,Yorke Peninsula (DC),SA,19800,10291,4456,41.4,16314,3486,0,4262,194,0
49399,Unincorporated SA,SA,145807,2816,437,11.5,1388,3117,141302,323,102,12
50080,Albany (C),WA,17207,18599,3850,20.1,13817,3190,200,3733,116,1
50210,Armadale (C),WA,81447,39863,17188,42.3,73414,8033,0,16845,343,0
50250,Ashburton (S),WA,4119,3875,332,7.7,1721,1280,1118,300,31,1
50280,Augusta-Margaret River (S),WA,12696,8600,2311,25.3,9310,3087,299,2177,132,2
50350,Bassendean (T),WA,11167,7149,2385,32.6,9092,1709,366,2328,55,2
50420,Bayswater (C),WA,41381,29639,8630,28.2,33963,7418,0,8364,266,0
50490,Belmont (C),WA,24931,18134,4593,24.2,17034,7065,832,4387,204,2
50560,Beverley (S),WA,1688,900,441,48.5,1579,109,0,436,5,0
50630,Boddington (S),WA,1633,882,316,34.3,1384,249,0,303,13,0
50770,Boyup Brook (S),WA,1206,1016,265,24.7,1001,205,0,251,14,0
50840,Bridgetown-Greenbushes (S),WA,3519,2541,808,30.7,3080,439,0,781,27,0
50910,Brookton (S),WA,910,479,176,34.9,701,209,0,167,9,0
50980,Broome (S),WA,8157,9292,740,5.7,2949,5208,0,529,211,0
51080,Broomehill-Tambellup (S),WA,616,496,123,22.8,473,143,0,113,10,0
51120,Bruce Rock (S),WA,1015,472,209,41.9,787,228,0,198,11,0
51190,Bunbury (C),WA,22860,14821,4936,32.3,19048,3812,0,4787,149,0
51260,Busselton (C),WA,38629,22066,7657,33.2,30209,8278,142,7334,322,1
51310,Cambridge (T),WA,16468,9258,3083,31.6,13525,2943,0,2926,157,0
51330,Canning (C),WA,74609,37081,15610,41.1,60346,12110,2153,15223,380,7
51400,Capel (S),WA,13942,7973,3102,37.8,11888,2054,0,3017,85,0
51470,Carnamah (S),WA,598,424,106,23.7,420,178,0,100,6,0
51540,Carnarvon (S),WA,4544,3705,369,6.5,1415,3129,0,239,130,0
51610,Chapman Valley (S),WA,1184,661,230,33.9,1020,164,0,224,6,0
51680,Chittering (S),WA,7463,2389,1392,54.9,5888,1575,0,1311,81,0
